Date,SrCa,sst,end_date,Latitude,Longitude,mmm_from_sst,mmm_from_sst_year_range,Site
1987-08-01,8.957,26.256889922036407,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1987-09-01,8.876,27.746816752992743,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1987-10-01,8.875,27.76521091139961,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1987-11-01,8.854,28.151488237943852,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1987-12-01,8.825,28.684918831743005,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1988-01-01,8.808,28.99761952465977,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1988-02-01,8.797,29.199955267135294,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1988-03-01,8.785,29.420685168017712,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1988-04-01,8.807,29.016013683066603,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1988-05-01,8.8,29.144772791914676,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1988-06-01,8.88,27.673240119365232,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1988-07-01,8.93,26.753532199021866,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1988-08-01,8.862,28.004334970688888,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1988-09-01,8.817,28.83207209899794,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1988-10-01,8.787,29.383896851203957,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1988-11-01,8.807,29.016013683066603,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1988-12-01,8.828,28.629736356522415,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1989-01-01,8.803,29.089590316694085,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1989-02-01,8.794,29.255137742355885,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1989-04-01,8.804,29.071196158287226,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1989-05-01,8.847,28.280247346791896,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1989-06-01,8.851,28.206670713164417,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1989-07-01,8.905,27.21338615919356,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1989-08-01,8.936,26.643167248580653,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1989-10-01,8.847,28.280247346791896,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1989-11-01,8.843,28.353823980419374,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1989-12-01,8.824,28.70331299014987,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1990-01-01,8.799,29.163166950321568,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1990-02-01,8.779,29.53105011845892,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1990-03-01,8.792,29.29192605916964,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1990-05-01,8.874,27.78360506980644,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1990-06-01,8.876,27.746816752992743,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1990-07-01,8.909,27.13980952556608,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1990-08-01,8.91,27.121415367159216,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1990-10-01,8.811,28.94243704943915,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1990-11-01,8.768,29.733385860934476,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1990-12-01,8.802,29.107984475100977,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1991-02-01,8.887,27.54448101051716,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1991-03-01,8.851,28.206670713164417,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1991-04-01,8.855,28.13309407953696,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1991-05-01,8.866,27.930758337061405,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1991-08-01,8.913,27.066232891938597,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1991-09-01,8.887,27.54448101051716,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1991-10-01,8.849,28.24345902997817,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1991-11-01,8.823,28.72170714855673,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1992-01-01,8.787,29.383896851203957,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1992-03-01,8.776,29.58623259367954,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1992-04-01,8.774,29.623020910493295,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1992-05-01,8.779,29.53105011845892,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1992-06-01,8.827,28.64813051492925,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1992-07-01,8.878,27.710028436178987,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1992-08-01,8.931,26.735138040615,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1992-09-01,8.902,27.26856863441418,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1992-10-01,8.877,27.72842259458585,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1992-11-01,8.815,28.868860415811696,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1992-12-01,8.82,28.77688962377732,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1993-02-01,8.888,27.526086852110325,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1993-03-01,8.848,28.261853188385032,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1993-04-01,8.839,28.42740061404683,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1993-06-01,8.887,27.54448101051716,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1993-07-01,8.923,26.882291307869934,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1993-08-01,8.922,26.9006854662768,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1993-09-01,8.91,27.121415367159216,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1993-10-01,8.861,28.022729129095723,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1993-12-01,8.8,29.144772791914676,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1994-01-01,8.773,29.64141506890013,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1994-02-01,8.752,30.027692395444348,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1994-03-01,8.802,29.107984475100977,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1994-04-01,8.833,28.53776556448804,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1994-05-01,8.853,28.169882396350687,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1994-06-01,8.879,27.691634277772124,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1994-09-01,8.928,26.79032051583556,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1994-12-01,8.803,29.089590316694085,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1995-01-01,8.861,28.022729129095723,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1995-02-01,8.871,27.83878754502706,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1995-03-01,8.851,28.206670713164417,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1995-04-01,8.841,28.390612297233133,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1995-05-01,8.76,29.88053912818941,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1995-06-01,8.883,27.61805764414467,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1995-07-01,8.928,26.79032051583556,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1995-08-01,8.922,26.9006854662768,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1995-09-01,8.852,28.18827655475755,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1995-10-01,8.848,28.261853188385032,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1995-11-01,8.808,28.99761952465977,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1995-12-01,8.807,29.016013683066603,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1996-01-01,8.84,28.409006455639968,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1996-02-01,8.822,28.740101306963624,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1996-03-01,8.803,29.089590316694085,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1996-04-01,8.836,28.48258308926745,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1996-05-01,8.868,27.89397002024768,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1996-06-01,8.875,27.76521091139961,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1996-07-01,8.88,27.673240119365232,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1996-08-01,8.862,28.004334970688888,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1996-10-01,8.829,28.611342198115523,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1996-11-01,8.814,28.88725457421853,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1996-12-01,8.768,29.733385860934476,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1997-01-01,8.81,28.960831207846013,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1997-02-01,8.846,28.29864150519876,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1997-03-01,8.813,28.90564873262539,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1997-04-01,8.78,29.512655960052054,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1997-05-01,8.811,28.94243704943915,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1997-06-01,8.862,28.004334970688888,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1997-07-01,8.912,27.08462705034546,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1997-08-01,8.925,26.84550299105618,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1997-09-01,8.878,27.710028436178987,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1997-10-01,8.842,28.37221813882624,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1997-11-01,8.785,29.420685168017712,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1997-12-01,8.765,29.788568336155063,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1998-01-01,8.776,29.58623259367954,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1998-02-01,8.778,29.549444276865785,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1998-03-01,8.775,29.604626752086403,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1998-04-01,8.773,29.64141506890013,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1998-05-01,8.803,29.089590316694085,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1998-07-01,8.849,28.24345902997817,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1998-08-01,8.866,27.930758337061405,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1998-09-01,8.848,28.261853188385032,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1998-10-01,8.79,29.328714375983395,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1998-11-01,8.733,30.37718140517484,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1998-12-01,8.758,29.917327445003167,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1999-01-01,8.776,29.58623259367954,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1999-02-01,8.786,29.40229100961085,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1999-03-01,8.785,29.420685168017712,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1999-04-01,8.8,29.144772791914676,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1999-05-01,8.821,28.758495465370487,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1999-06-01,8.845,28.317035663605623,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1999-07-01,8.902,27.26856863441418,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1999-08-01,8.936,26.643167248580653,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1999-09-01,8.914,27.047838733531737,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1999-11-01,8.726,30.50594051402291,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
1999-12-01,8.758,29.917327445003167,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2000-02-01,8.811,28.94243704943915,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2000-03-01,8.83,28.59294803970866,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2000-04-01,8.836,28.48258308926745,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2000-05-01,8.842,28.37221813882624,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2000-06-01,8.872,27.820393386620196,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2000-08-01,8.947,26.4408315061051,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2000-09-01,8.842,28.37221813882624,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2000-10-01,8.815,28.868860415811696,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2000-11-01,8.806,29.034407841473495,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2001-01-01,8.846,28.29864150519876,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2001-03-01,8.822,28.740101306963624,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2001-04-01,8.809,28.979225366252905,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2001-05-01,8.828,28.629736356522415,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2001-06-01,8.877,27.72842259458585,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2001-08-01,8.899,27.32375110963477,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2001-09-01,8.862,28.004334970688888,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2001-10-01,8.827,28.64813051492925,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2001-11-01,8.784,29.439079326424576,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2002-01-01,8.766,29.770174177748203,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2002-03-01,8.779,29.53105011845892,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2002-07-01,8.931,26.735138040615,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2002-08-01,8.926,26.827108832649316,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2002-10-01,8.799,29.163166950321568,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2002-11-01,8.742,30.21163397951304,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2002-12-01,8.714,30.726670414905357,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2003-01-01,8.728,30.469152197209212,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2003-02-01,8.741,30.23002813791993,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2003-04-01,8.772,29.659809227306994,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2003-06-01,8.861,28.022729129095723,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2003-07-01,8.876,27.746816752992743,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2003-08-01,8.899,27.32375110963477,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2003-09-01,8.883,27.61805764414467,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2003-10-01,8.834,28.51937140608121,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2003-11-01,8.812,28.92404289103229,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2003-12-01,8.731,30.413969721988593,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2004-01-01,8.781,29.494261801645195,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2004-02-01,8.831,28.574553881301796,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2004-03-01,8.797,29.199955267135294,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2004-04-01,8.763,29.82535665296882,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2004-05-01,8.839,28.42740061404683,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2004-06-01,8.873,27.801999228213333,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2004-08-01,8.911,27.103021208752352,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2004-09-01,8.867,27.912364178654514,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2004-10-01,8.811,28.94243704943915,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2004-11-01,8.768,29.733385860934476,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2004-12-01,8.747,30.119663187478693,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2005-01-01,8.798,29.18156110872843,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2005-03-01,8.771,29.678203385713857,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2005-04-01,8.738,30.28521061314052,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2005-05-01,8.771,29.678203385713857,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2005-06-01,8.821,28.758495465370487,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2005-07-01,8.851,28.206670713164417,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2005-09-01,8.879,27.691634277772124,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2005-10-01,8.841,28.390612297233133,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2005-11-01,8.814,28.88725457421853,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2005-12-01,8.773,29.64141506890013,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2006-03-01,8.845,28.317035663605623,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2006-04-01,8.828,28.629736356522415,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2006-05-01,8.837,28.464188930860587,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2006-06-01,8.862,28.004334970688888,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2006-07-01,8.942,26.532802298139444,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2006-08-01,8.969,26.036160021154014,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2006-09-01,8.947,26.4408315061051,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2006-10-01,8.864,27.967546653875132,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2006-11-01,8.764,29.80696249456196,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2006-12-01,8.774,29.623020910493295,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2007-01-01,8.773,29.64141506890013,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2007-02-01,8.775,29.604626752086403,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2007-03-01,8.783,29.457473484831468,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2007-04-01,8.792,29.29192605916964,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2007-05-01,8.791,29.310320217576503,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2007-06-01,8.845,28.317035663605623,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2007-07-01,8.903,27.250174476007288,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2007-09-01,8.895,27.397327743262252,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2007-10-01,8.848,28.261853188385032,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2007-11-01,8.78,29.512655960052054,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2007-12-01,8.727,30.487546355616047,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2008-01-01,8.777,29.567838435272677,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2008-02-01,8.83,28.59294803970866,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2008-03-01,8.781,29.494261801645195,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2008-04-01,8.732,30.39557556358173,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
2008-05-01,8.791,29.310320217576503,2011-08-01,-14.121,123.5467277,29.05586769294817,1985_to_1990,BRS07
